"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-60.697639,11.282531,NA,"Pomacanthus paru"
"gbif",-69.968338,12.52162,NA,"Pomacanthus paru"
"gbif",-63.141162,18.053905,NA,"Pomacanthus paru"
"gbif",-63.095053,18.026704,NA,"Pomacanthus paru"
"gbif",-60.698139,11.277071,NA,"Pomacanthus paru"
"gbif",-63.128224,18.046726,NA,"Pomacanthus paru"
"gbif",-80.389438,25.08038,NA,"Pomacanthus paru"
"gbif",-80.077065,26.963854,NA,"Pomacanthus paru"
"gbif",-80.160275,25.731653,NA,"Pomacanthus paru"
"gbif",-61.06897,14.6406,NA,"Pomacanthus paru"
"gbif",-86.248723,27.004223,NA,"Pomacanthus paru"
"gbif",-81.388884,19.299052,NA,"Pomacanthus paru"
"gbif",-81.393082,19.275973,NA,"Pomacanthus paru"
"gbif",-80.071702,26.335569,NA,"Pomacanthus paru"
"gbif",-61.365928,10.803011,NA,"Pomacanthus paru"
"gbif",-61.619503,10.739334,NA,"Pomacanthus paru"
"gbif",-68.287329,12.165264,NA,"Pomacanthus paru"
"gbif",-80.040322,26.783385,NA,"Pomacanthus paru"
"gbif",-61.08813,14.529603,NA,"Pomacanthus paru"
"gbif",-61.089027,14.527687,NA,"Pomacanthus paru"
"gbif",-61.088842,14.530723,NA,"Pomacanthus paru"
"gbif",-86.932908,21.045805,NA,"Pomacanthus paru"
"gbif",-69.613752,18.444043,NA,"Pomacanthus paru"
"gbif",-64.868452,18.307045,NA,"Pomacanthus paru"
"gbif",-64.86931,18.307864,NA,"Pomacanthus paru"
"gbif",-81.317721,19.379329,NA,"Pomacanthus paru"
"gbif",-40.27732,-20.309198,NA,"Pomacanthus paru"
"gbif",-61.21372,14.78152,NA,"Pomacanthus paru"
"gbif",-67.01861,17.93498,10.97,"Pomacanthus paru"
"gbif",-86.897601,16.08919,NA,"Pomacanthus paru"
"gbif",-79.860377,9.40296,NA,"Pomacanthus paru"
"gbif",-80.043041,26.782616,NA,"Pomacanthus paru"
"gbif",-80.376879,25.012729,NA,"Pomacanthus paru"
"gbif",-61.79461,16.23544,NA,"Pomacanthus paru"
"gbif",-61.22786,14.84149,NA,"Pomacanthus paru"
"gbif",-66.85434,17.95632,3.05,"Pomacanthus paru"
"gbif",-66.85434,17.95632,2.74,"Pomacanthus paru"
"gbif",-67.16075,18.44494,12.19,"Pomacanthus paru"
"gbif",-65.60128,18.22362,11.28,"Pomacanthus paru"
"gbif",-67.26918,18.35743,3.96,"Pomacanthus paru"
"gbif",-66.85434,17.95632,3.35,"Pomacanthus paru"
"gbif",-66.08705,18.45372,5.49,"Pomacanthus paru"
"gbif",-66.0823,18.46118,1.83,"Pomacanthus paru"
"gbif",-67.16075,18.44494,10.06,"Pomacanthus paru"
"gbif",-67.16822,18.46281,8.23,"Pomacanthus paru"
"gbif",-65.474381,18.143726,NA,"Pomacanthus paru"
"gbif",-80.014017,26.172738,NA,"Pomacanthus paru"
"gbif",-87.74036,18.539403,NA,"Pomacanthus paru"
"gbif",-78.28915,22.507781,NA,"Pomacanthus paru"
"gbif",-64.868475,18.307071,NA,"Pomacanthus paru"
"gbif",-64.868178,18.306775,NA,"Pomacanthus paru"
"gbif",-86.800087,21.229616,NA,"Pomacanthus paru"
